Start time,End time,German ><,English!
4787.2,4814.9,"Verstört kauert sie sich in einen Balkonsessel. Mit verschränkten Armen wiegt sich Jenny vor und zurück. Sie schaut hoch; Mondlicht fällt auf ihr Gesicht; (WEINEN) über ihre Wangen laufen Tränen. * Durch ein Wolkenloch scheint der fast volle Mond auch auf den Shrimp-Kutter. In einem Netz, das an einem Ausleger über dem Wasser hängt, liegt Forrest wie in einer Hängematte. … Traurig blickt er in die Nacht.","Distraught she crouches in a balcony seat. With arms crossed Jenny weighs back and forth. She looks up; Moonlight falls on her face; Run (cry) Tears down her cheeks. * Through a hole in the clouds of the nearly full moon shines on the shrimp boats. In a network which depends on a boom over the water, Forrest is like in a hammock. ... Sadly, he looks into the night."
4818.8,4836.3,Es ist Tag. Forrest steuert die 'Jenny' am Ufer entlang. Er trägt ein verschmutztes weißes Muscle-Shirt und eine Schirmmütze. Plötzlich entdeckt er etwas und späht Richtung Ufer. Auf einem Anlegesteg sitzt Dan im Rollstuhl. Forrest lässt das Steuerrad los und stellt sich an die Reling.,"It's day. Forrest controls the 'Jenny' along the shore. He wears a soiled white Muscle-shirt and a baseball cap. Suddenly he discovered something, peering toward the shore. On a pier Dan is in a wheelchair. Forrest lets go of the steering wheel and adjusts itself to the rail."
4838.4,4841.1,Dan macht das 'Peace'-Zeichen; Forrest winkt wild.,Dan makes the 'Peace' characters; Forrest waving wildly.
4843.3,4844.8,Forrest springt über Bord.,Forrest jumps overboard.
4847.5,4852.5,Der Kutter fährt weiter. Forrest krault zum Steg.,The cutter continues. Forrest fondles the web.
4860.3,4864.5,Dan raucht eine Zigarre mit Mundstück. Forrest steigt eine Leiter zu ihm hoch.,Dan smoking a cigar with a mouthpiece. Forrest climbs a ladder up at him.
4905.2,4906.9,ss Hinter ihm rammt das Schiff einen Ponton.,ss Behind him the ship rammed a pontoon.
4909.5,4911.3,Es schiebt den halben Ponton vor sich her.,It pushes the half pontoon in front of him.
4915.8,4918.9,Auf dem offenen Meer: Hoch über dem Deck sitzt Dan auf einem Mast.,On the open sea: High above the deck Dan sits on a mast.
4925.2,4927,s Verwirrt lässt Forrest das Steuer los.,s Confused Forrest lets go of the control.
4936.9,4937.8,s Er dreht nach rechts.,s He turns to the right.
4942.2,4944.3,s Forrest überlegt – und fährt nach links.,s Forrest considered - and moves to the left.
4947.7,4949.3,ss Dan trägt Stirnband und Sonnenbrille.,ss Dan wearing headband and sunglasses.
4952.4,4953.7,ss Forrest öffnet das Netz.,ss Forrest opens the network.
4954.6,4961.2,"An Deck liegen Dosen, eine Klobrille und anderer Müll. Dan sitzt daneben. Forrest hebt die Klobrille auf und betrachtet sie.","On deck are cans, a toilet seat and other trash. Dan sits beside it. Forrest picks up the toilet seat and considers them."
4975.5,4978.8,s In einer Kirche singt Forrest in blau-rotem Gewand im Gospelchor mit.,s In a church Forrest sings in blue-red robe with the gospel choir.
4981.7,4983.1,ss Dan sitzt hinten und trinkt,ss Dan sits back and drinks
4990.2,5001.4,"Ein Stahlhelm, ein Stiefel und ein Nummernschild fallen aufs Deck. Forrest inspiziert den Fang. Dan seilt sich auf einer Schaukel sitzend vom Mast ab. Forrest kippt das Wasser aus dem Stahlhelm.","A helmet, a boot and a license plate drop deck. Forrest inspected the catch. Dan abseils sitting on a swing from the mast. Forrest tilts the water from the Stahlhelm."
5013.7,5029.6,"Es ist dunkel. Im heftigen Sturm krachen Wellen gegen die Bordwand. Forrest kommt aus dem Ruderhaus, kämpft sich zum Achterdeck und klammert sich ans Steuer. Der Wind peitscht Gischt übers Deck. Dan sitzt hoch oben im Mast. Mit einer Hand hält er sich an einem Seil fest.","It is dark. In violent storm waves crashing against the ship's side. Forrest comes from the wheelhouse, fights his way to the quarterdeck and clings behind the wheel. The wind whips spray across the deck. Dan sits high up the mast. With one hand he holds on to a rope."
5038.7,5042.1,ss Mit nacktem Oberkörper reckt er den Arm hoch. Über ihm weht die US-Fahne.,ss Shirtless he stretched up his arm. Above him blowing the US flag.
5090.7,5093.1,Eine Shrimps-Ladung nach der anderen landet auf dem Deck.,A shrimp-load after another lands on the deck.
5101.3,5102.2,s Auf der Wartebank.,s on the waiting bench.
5104.2,5105.7,ss Neben dem Dicken sitzt eine Frau.,ss In addition to the thicknesses sits a woman.
5132.6,5133.2,Er geht.,He goes.
5155.5,5160.2,Aus dem Koffer holt er ein 'Fortune'-Magazin. Auf dem Cover er mit Dan vor der Kutterflotte.,From the suitcases he gets a 'Fortune' magazine. On the cover it with Dan before the cutter fleet.
5166.9,5167.4,An Deck.,An Deck.
5168.7,5173.7,Der hört mit der Arbeit auf und blickt ihn an. Dan sitzt neben der Reling mit nacktem Oberkörper im Rollstuhl.,The stops working and looks at him. Dan sits next to the railing shirtless in a wheelchair.
5181.2,5182.6,Forrest schaut ihn ruhig an.,Forrest looks at him calmly.
5182.9,5184.5,Dan hievt sich auf die Reling…,Dan heaves on the railing ...
5187.3,5190.3,"…lächelt Forrest zu, dreht sich um und stößt sich ab.","... Smiles to Forrest, turns around and pushes off."
5193.9,5198.3,"Forrest tritt näher an die Reling und sieht, wie Dan lächelnd auf dem Rücken davon krault.",Forrest occurs closer to the railing and see how Dan smiling fondles on the back of it.
5208,5208.8,Ein Bus hält.,A bus stops.
5237.5,5238.1,s Rasenmähen.,s mowing.
5246.5,5247.3,ss 'Apple'-Aktien.,ss 'Apple' shares.
5258.9,5259.6,s In der Kirche.,s in the church.
5271.2,5272.3,s Die Kirche wird renoviert.,s The church is renovated.
5277.4,5279.4,Das 'Gump Medical Center' wird eingeweiht.,The 'Gump Medical Center' will be inaugurated.
5286.9,5289.5,s Bubbas Mutter starrt auf einen Scheck – und fällt in Ohnmacht.,s Bubbas mother staring at a check - and faints.
5292,5293.5,s Eine weiße Köchin bedient sie.,s A white cook it serves.
5298.1,5299,ss Er sitzt auf dem Mäher.,ss He sits on the mower.
5306.1,5307.6,Er kommt im Pyjama auf den Balkon.,He comes in his pajamas on the balcony.
5317.4,5327.3,Er sieht Jenny im weißen Kleid über den Rasen kommen. … Sie wird durchsichtig und verschwindet.,He sees Jenny in white dress coming across the lawn. ... You will be transparent and disappear.
5329.8,5331.4,Bedrückt dreht sich Forrest weg.,Glum be Forrest turns away.
5334.7,5336,Er schlurft zur Tür…,He shuffles to the door ...
5339.8,5341.7,… und geht zögernd zurück ins Haus.,... And goes reluctantly back into the house.
5349.1,5354,Es ist Tag. Neben seinem Haus sitzt Forrest auf dem kleinen Mäher und mäht die große Wiese.,It's day. In addition to his house Forrest sits on the small mower mows the large lawn.
5359.2,5360.8,Er zieht eine schnurgerade Bahn.,He draws a straight path.
5363.7,5366.6,"Die Wiese grenzt an den Fluss, der von Bäumen gesäumt ist.","The meadow is bordered by the river, which is lined with trees."
5369.8,5373.1,Von der Zufahrt kommt… Jenny auf den Rasen.,From the driveway comes ... Jenny on the lawn.
5375.2,5377.7,Sie geht am Baum mit der Schaukel vorbei auf Forrest zu.,She goes on the tree with the swing over at Forrest.
5387.5,5389,Langsam nähert sich Jenny.,Slowly Jenny approaches.
5391.7,5396.3,Forrest steigt ab. Ungläubig geht er ihr ein paar Schritte entgegen… und hält an.,"Forrest from rising. Incredulous, he's doing a few steps towards ... and stops."
5402.1,5403.5,Er eilt auf Jenny zu.,He rushes towards Jenny.
5409.8,5412.4,Mit etwas Abstand bleiben die beiden voreinander stehen.,"With a little distance, the two stand each other."
5416.8,5418.1,Sie fällt ihm um den Hals.,Him falling around her neck.
5423.7,5426.1,Zögernd legt auch er seine Arme um sie.,"Hesitantly, he puts his arms around her."
5429.5,5430.6,"ss Es ist Tag, sie schläft.","ss It is day, she is sleeping."
5445.7,5447,s Sie schlendern über eine Wiese.,s you stroll through a meadow.
5473.7,5475.4,Sie sitzen nebeneinander auf der Eiche.,They sit side by side on the oak.
5479,5480.9,Melancholisch betrachtet Jenny die Rosen.,Melancholic viewed Jenny the roses.
5486.8,5491.1,"Die Nike-Schuhe, die er auf der Wartebank trägt. * s Durch strömenden Regen fällt der Blick auf die beiden hinter einem Fenster.",The Nike shoes that he wears on the waiting bench. * S through the pouring rain to look at the two falls behind a window.
5495,5499.7,Jenny dreht sich unter seinem Arm durch. Forrest wippt auf der Stelle und schwingt ausgelassen die Arme.,Jenny turns through under his arm. Forrest teeters on the spot and swinging the arms omitted.
5508.4,5510.5,s Abends am Fluss: Sie legt den Arm um ihn.,s evening on the river: you puts his arm around him.
5514.2,5519.8,Auf dem Wasser spiegeln sich zerplatzende Feuerwerksraketen. Am Himmel sprühen sie wie bunte Blüten auseinander.,On the water bursting fireworks reflected. In the sky they spray apart like colorful flowers.
5522.3,5531.7,Im Fernseher: Über der Freiheitsstatue explodieren Raketen. Jenny sitzt grübelnd vor dem Gerät. Forrest hockt mit einer Limo auf der Fensterbank und beobachtet sie.,In TV: About the Statue of Liberty exploding rockets. Jenny sits brooding in front of the device. Forrest sits with a soda on the window sill and watched them.
5541.8,5543.7,s Sie küsst ihn auf die Schläfe und schaltet aus.,s She kisses him on the temple and turns off.
5544.6,5551.5,s Forrest sieht ihr nach. Entschlossen stellt er seine Flasche ab. (ABSTELLEN) * Jenny steigt die Treppe hoch. Unten kommt Forrest in den Flur.,"s Forrest looks after her. Resolutely, he puts down his bottle. (STOPPING) * Jenny rises up the stairs. Below comes Forrest in the hallway."
5553.5,5555.4,Jenny dreht sich ernst zu ihm um.,Jenny turns serious to him.
5589.7,5592,Forrest geht durch die Fliegengittertür nach draußen.,Forrest goes through the screen door to the outside.
5595.6,5601.1,Auf der Veranda stemmt er die Hände in die Hüften und bleibt abgewandt stehen. (bisschen DONNER) Jenny geht nach oben.,"On the porch, he puts his hands on his hips and stops away. (little thunder) Jenny goes up."
5602.6,5604.7,Das dunkle Haus im strömenden Regen.,The dark house in the pouring rain.
5609.4,5614.6,Forrest liegt im Bett. Draußen geht Jenny im Nachthemd am Fenster vorbei. Er öffnet die Augen.,Forrest lying in bed. Outside is Jenny in her nightgown by the train window. He opens his eyes.
5617.6,5627.9,"Jenny bleibt an der Tür stehen und sieht ihn an. Forrest richtet sich etwas auf. Sie schlüpft unter seine Decke … ""JENNY"" … und legt sich auf ihn.","Jenny stops at the door and looks at him. Forrest is something aimed at. She slips under his blanket ... ""JENNY"" ... and lays down on him."
5631.5,5633.1,Sie gibt ihm einen Kuss auf den Mund.,She gives him a kiss on the mouth.
5636.5,5642.7,Die beiden küssen sich innig. Zaghaft hebt Forrest die Hände… und schließt Jenny in seine Arme.,The two kiss intimately. Timid raises Forrest hands ... and closes Jenny in his arms.
5650.6,5654.5,Durch eine Gardine fällt der Blick auf das Bett. Jenny zieht ihr Nachthemd aus.,A curtain is a look at the bed. Jenny takes off her nightgown.
5655.7,5658.2,Forrest umarmt sie wieder. Die beiden küssen sich weiter.,Forrest they hugged again. The two kiss further.
5661.5,5664,Es ist hell. Vor dem Haus:,It is bright front of the house.:
5666.1,5671.7,In Rock und Bluse kommt Jenny mit ihrer Umhängetasche auf die Veranda. … Sie eilt über den Rasen zu einem Taxi,In skirt and blouse Jenny comes with her bag on the porch. ... She hurries across the lawn to a taxi
5676.7,5678.4,Der Fahrer hält ihr die Fondtür auf.,The driver keeps her on the rear door.
5689.7,5693.5,Aus einem Fenster im oberen Stock des Hauses: Unten fährt das Taxi davon.,From a window in the upper floor of the house: Downstairs drives off the taxi.
5699.1,5703.3,Forrest liegt schlafend im Bett. Seine nackten Schultern gucken unter der Decke hervor.,Forrest is asleep in bed. His bare shoulders peek out from under the blanket.
5706.2,5717.3,Auf einer Kommode liegt neben Forrests Tischtennisschläger seine goldene Tapferkeitsmedaille am blauen Band. Forrest steht im Morgenmantel mit einem Glas Milch in der Zimmertür und betrachtet die Medaille ernst.,On a dresser is located next to Forrest's table tennis bat his gold medal for bravery on the blue ribbon. Forrest stands in his dressing gown with a glass of milk in the door and looking at the medal seriously.
5719.7,5724.2,In Jennys Zimmer ist das Bett unberührt. Forrest steht in der Tür und starrt darauf.,"In Jenny's room the bed is unaffected. Forrest stands in the doorway, staring out."
5728.1,5731,Er sitzt im Wohnzimmer kerzengerade auf der Fensterbank.,He sits in the living room straight on the window sill.
5736.3,5741.8,Auf der Veranda sitzt Forrest reglos in einem Schaukelstuhl. Er hat seine Laufschuhe an und sieht vor sich hin.,On the porch Forrest sits motionless in a rocking chair. He has on his running shoes and looks to himself.
5749.7,5752.7,Forrest setzt sein rotes 'Bubba Gump Shrimp'-Käppi auf…,Forrest puts on his red 'Bubba Gump Shrimp'-cap ...
5755.7,5756.4,… und steht auf.,... And stands up.
5760.2,5769.1,Er steigt von der Veranda… Auf dem Rasen beginnt er zu laufen… wird schneller … und rennt die Zufahrt entlang.,He rises from the porch ... On the lawn he begins to run faster ... ... and runs along the access road.
5799.3,5800.7,Forrest kommt nach Mississippi.,Forrest comes to Mississippi.
5803.9,5804.8,Auf der Wartebank.,On the waiting bench.
5811,5816.5,s In Santa Monica läuft Forrest auf dem Pier bis zum Geländer am Ende. Er hat etwas längere Haare und einen Vollbart.,s In Santa Monica Forrest runs on the pier to the railings at the end. It has slightly longer hair and a full beard.
5823.1,5825.6,Forrest erreicht einen kleinen Leuchtturm am Atlantik.,Forrest reached a small lighthouse on the Atlantic coast.
5843,5846,"Auf der Wartebank: ""SIE WISSEN SCHON"" Er sieht die Frau an.","On the waiting bench: ""FAMILIAR"" He looks at the woman."
5856.6,5872.5,Forrest läuft an einem Fluss entlang. Unter seinem Käppi lugt sein nackenlanges Haar hervor. * Zwischen reifen Weizenfeldern läuft er auf einer einsamen schnurgeraden Straße. * Auf einer Feldsteinbrücke überquert er einen klaren Fluss. Im Hintergrund schneebedeckte Gipfel der Rocky Mountains.,"Forrest runs along a river. Under his cap sticks out his neck long hair. * Between ripe wheat fields, he is running on a secluded dead-straight road. * On a field stone bridge he crosses a clear river. In the background snow-capped peaks of the Rocky Mountains."
5877.6,5886.8,"s In kurzer Hose läuft er mit fast schulterlangem Haar auf einer Landstraße. * Forrest kommt in gleichbleibendem Tempo an einem Wald vorbei. Das Laub leuchtet gelb, orange und rot.","s in shorts runs with almost shoulder-length hair on a country road. * Forrest get away from a forest at a constant pace. The foliage glows yellow, orange and red."
5898.7,5900,s In Greenbow beim Friseur:,s In Greenbow at the barber:
5909.8,5911.3,s Jenny bedient in einem Restaurant.,s Jenny served in a restaurant.
5934.6,5936,Die Reporter müssen mitlaufen.,The reporter must run along.
5940.2,5943.4,"ss In einem Ort: Ein junger Mann … ""SIE SIND'S?"" … hängt sich an seine Fersen.","ss In one place: A young man ... ""? it's you"" ... Clings to his heels."
5961.9,5963.8,Mit Abstand folgen ihm fünf Leute.,By far five people follow him.
5969,5971.4,s In der Wüste trabt eine lange Läuferschlange hinter ihm her.,s In the desert a long runner trots snake behind him.
6005.4,6007,Der Mann bleibt nachdenklich stehen.,The man stops thinking.
6014,6015.4,ss Ein Autoaufkleber: 'Shit happens'.,ss A bumper sticker: 'Shit happens'.
6030.2,6034.7,ss Forrest drückt sich das gelbe T-Shirt ins verdreckte Gesicht und gibt es zurück. Darauf ein Smiley-Abdruck.,ss Forrest the yellow T-shirt expresses itself into the dirty face and returns it. Then a smiley impression.
6045.2,6047.4,s Forrest läuft mit seinen Anhängern durch eine Steppe.,s Forrest runs with his followers through a steppe.
6052.4,6053.7,ss Im Hintergrund Tafelberge.,ss In the background mesas.
6072.2,6084.7,"Er bleibt stehen. Ein gutes Stück hinter ihm stoppt auch die Gruppe der rund fünfzig Männer und Frauen, die ihm gefolgt sind. Sein welliges Haar unter dem Käppi reicht bis zu den Schulterblättern, sein zotteliger Bart bis auf die Brust. Er dreht sich um.","He stops. A good piece behind him also stops the group of around fifty men and women, who followed him. His wavy hair under the cap reaches to the shoulder blades, his shaggy beard down to his chest. He turns around."
6089.5,6095.5,"Forrest sieht zu den Leuten hinüber. Er trägt eine blaue Trainingsjacke mit brauner Hose, darüber eine weite Regenjacke.","Forrest looks over to the people. He wears a blue track jacket with brown trousers, about a wide raincoat."
6106.2,6108.6,Mit schleppenden Schritten geht er auf die Gruppe zu.,With dragging steps he walks up to the group.
6117.5,6121.5,"Die Leute weichen nach links und rechts aus, lassen ihn durch und sehen ihm nach.","People soft left and right of, let him by and check on him."
6124.9,6125.9,Forrest geht weiter.,Forrest goes on.
6133.7,6135.9,s Im Fernseher: (Präsident) Reagan geht zu seinem Wagen.,s on TV: (President) Reagan goes to his car.
6139.5,6140.7,ss Der Schütze wird überwältigt.,ss The shooter is overwhelmed.
6146.2,6147.2,ss Bei Forrest. Louise:,ss Bei Forrest. Louise:
6182.4,6183.6,s Sie zeigt über die Straße.,s It shows on the road.
6185.5,6188.2,s Er nimmt ihr den Brief ab und rennt mit Pralinenschachtel und Koffer…,s He takes her from the letter and runs with chocolate box and luggage ...
6190,6190.7,s … auf die Straße.,s ... on the road.
6194.2,6195.3,Forrest hetzt weiter.,Forrest rushes on.
6198.4,6199.9,Jenny öffnet ihre Wohnungstür.,Jenny opens her apartment door.
6204.4,6205.2,s Sie umarmt ihn.,s you hugged him.
6211.9,6213.7,Jenny hat eine nackenlange Föhnfrisur.,Jenny has a long neck blow dry.
6222.8,6225.2,Sie trägt noch ihr türkisfarbenes Kellnerinnen-Kleid.,She still wears her turquoise waitresses dress.
6226.8,6227.9,Forrest gibt ihr die Schachtel.,Forrest gives her the box.
6241.5,6245.4,"ss Auf den Covern … ""WIE DU LÄUFST"" … von 'Runner's World' und vom 'National Enquirer'","ss on the covers ... ""the way you walk,"" ... by 'Runner's World' and the 'National Enquirer'"
6250,6252.3,s Jenny schaut ins Album. Forrest betrachtet sie.,s Jenny looks into the album. Forrest she considered.
6255.2,6256.3,Sie klappt das Album zu.,She works for the album.
6276.4,6277.6,s Eine Frau bringt einen Jungen.,s A woman brings a boy.
6280.8,6281.6,ss Sie hebt ihn hoch.,ss She lifts him up.
6291.8,6294.3,Sie geht mit dem blonden Jungen auf dem Arm zu Forrest.,She goes to the blond boy on the arm to Forrest.
6303.8,6305,Er läuft ins Kinderzimmer.,He runs to the nursery.
6326.4,6328,Er starrt weiter zu dem Jungen.,He continues to stare at the boy.
6333.4,6337.2,Verstört weicht er zurück… und senkt verschämt den Blick.,"Bewildered, he backs away ... and lowers his eyes bashfully."
6340.9,6342.1,s Er steht unruhig auf der Stelle.,s He is restless on the spot.
6346.2,6347.1,Sie nimmt seine Hand.,She takes his hand.
6353,6355.5,"Er beobachtet seinen Sohn, der 'Sesamstraße' kuckt.","He watched his son, the 'Sesame Street' kuckt."
6379,6381.7,Sein Blick geht zwischen ihr und Forrest Junior hin und her.,He looks between her and Forrest Junior back and forth.
6390.8,6394.3,"Unsicher geht Forrest zu seinem Sohn, der auf dem Boden auf einem Kissen sitzt.",Unsure goes Forrest to his son sitting on the floor on a pillow.
6401.2,6402.6,Forrest setzt sich neben ihn.,Forrest sits next to him.
6409,6410.8,Jenny beobachtet die beiden gerührt.,Jenny observed stirred the two.
6417.6,6421.9,Auf einem Spielplatz in einem Park schaukelt Forrest Junior. Seine Eltern sitzen auf einer Bank.,On a playground in a park Rocks Forrest Junior. His parents sitting on a bench.
6473.1,6479.5,"Vor Forrests Haus elegant gekleidete Leute. Louise, in gelbem Kleid, geht zu Forrest, der nachdenklich etwas abseits steht.","Before Forrest's house smartly dressed people. Louise, in a yellow dress, goes to Forrest, who is somewhat pensively off."
6482.6,6499.8,Jenny kommt aus dem Haus auf die blumengeschmückte Veranda. Forrest geht ihr entgegen. Er trägt einen hellgrauen Anzug mit einem Sträußchen im Knopfloch und eine dunkle geblümte Krawatte. Jenny steigt barfuß die Stufen zu ihm herunter. Sie trägt ein cremefarbenes schlichtes Brautkleid mit Puffärmeln und einen Blumenkranz im Haar.,Jenny comes from the house on the flower-decked patio. Forrest goes to meet her. He is wearing a light gray suit with a posy in his buttonhole and a dark floral tie. Jenny rises barefoot down the steps towards him. She is wearing a cream-colored wedding dress with puff sleeves and a simple wreath of flowers in her hair.
6503.6,6504.5,Jenny richtet sie.,Jenny she directed.
6508.5,6515.9,"Die beiden blicken zur Zufahrt. Aufrecht gehend, auf einen Stock gestützt, kommt… Dan über den Rasen. Eine Asiatin begleitet ihn.","Both overlook the driveway. Walking upright, leaning on a stick, comes ... Dan across the lawn. An Asian girl accompanied him."
6518.2,6532.1,"Zögernd geht er auf das Paar zu. Dan nähert sich langsam mit steifen Schritten. Er hat kurzgeschnittenes Haar, ist glatt rasiert und trägt einen hellen Anzug. Seine Begleiterin ist fast einen Kopf kleiner als er. Sie trägt ein lilafarbenes geblümtes Kleid.","Hesitantly, he walks toward the couple. Dan slowly approaches stiffly. He has short hair, is clean-shaven and wearing a light suit. His companion is almost a head smaller than he. She wears a purple flowered dress."
6542.8,6544.1,Er zeigt seine Prothese.,He shows his prosthesis.
6546,6547.3,s Sie steckt in Schuh und Socke.,s you put in shoe and sock.
6566.6,6567.7,Sie gibt ihm die Hand.,She gives him her hand.
6575.6,6580.5,Sie reicht Dan die Hand und küsst ihn auf die Wange. Dan sieht Forrest an. Der schmunzelt stolz.,It ranges Dan's hand and kisses him on the cheek. Dan looks at Forrest. The smiles proudly.
6583.4,6584,Im Garten:,In the garden:
6600.2,6603.4,Trockenes Laub weht über die von mächtigen Bäumen gesäumte Zufahrt.,Dry leaves blowing over the tree-lined drive powerful.
6604.9,6612.9,Zwischen den Bäumen spazieren Jenny und Forrest Händchen haltend auf das Haus zu. Ihr Sohn hebt etwas auf und gibt es seinem Vater. Der nimmt ihn an die Hand.,Between the trees walk Jenny and Forrest holding hands at home. Her son picks up something and there is his father. He takes him by the hand.
6614.5,6625,"Im Haus kommt Forrest mit einem Frühstückstablett ins ehemalige Schlafzimmer seiner Mutter. Abrupt bleibt er stehen und starrt auf Jenny, die reglos im Bett liegt. Ihr Kopf ruht auf mehreren Kissen.","In House Forrest comes with a breakfast tray from his mother's former bedroom. Abruptly, he stops and stares at Jenny, who lies motionless in bed. Her head rests on several pillows."
6626.3,6627.3,Sie öffnet die Augen.,She opens her eyes.
6635.6,6640.7,Er stellt das Tablett auf ein Tischchen neben dem Bett… (ABSTELLEN) … und schiebt ein Fenster hoch.,He puts the tray on a small table next to the bed ... (STOPPING) ... and moves up a window.
6644.6,6648.6,Er setzt sich auf einen Stuhl. Jenny dreht sich zu ihm und stützt den Kopf in die Hand.,He sits down on a chair. Jenny turns to him and supports the head in his hand.
6657.8,6659.1,ss Forrest nachts in Vietnam.,ss Forrest nachts in Vietnam.
6664.5,6667.2,s Er nimmt den Stahlhelm ab und sieht zu einem Wolkenloch am Himmel.,s He takes off his helmet and looks at a hole in the clouds in the sky.
6669,6669.8,Jenny lächelt.,Jenny smiles.
6676.1,6677.1,s Er steht auf dem Kutter.,s He is on a boat.
6681,6682.5,ss In einem See spiegeln sich Gipfel.,ss in a lake peaks reflect.
6683.8,6684.7,ss Er läuft daran entlang,ss It runs along it
6696.2,6698.1,Forrest mit zotteligem Haar und Bart.,Forrest with shaggy hair and beard.
6708.2,6712,Am Bett sieht Forrest abwesend vor sich hin; Jenny blickt versonnen zum Fenster.,On the bed Forrest looks absently to herself; Jenny looks dreamily out of the window.
6716.8,6717.7,Er schaut sie an.,He looks at her.
6721.6,6726.9,"Jenny sieht ihm in die Augen, lächelt traurig und nimmt seine Hand.","Jenny looks him in the eye, smiles sadly and takes his hand."
6732.8,6734.5,Forrest blickt sie zärtlich an.,Forrest looks at her tenderly.
6738.5,6741,"s Er steht am Grabstein, um den ein Kranz aus Steinen liegt.","s He stands at the grave, to the lies a crown of stones."
6754.7,6755.8,Er schaut dabei zu.,He looks at it.
6777.6,6779.8,"s Abends: Er sitzt bei seinem Sohn, der liest",s evening: He is sitting with his son reading
6800.7,6802.2,Auf der Veranda steht eine Platte.,On the porch there is a plate.
6807.4,6810.1,Die Zwei sitzen mit Angelrouten auf dem Baumstumpf am Fluss.,The two sit with fishing rods on the stump by the river.
6839.4,6848.2,Neben einem Blumenstrauß lehnt er den Brief an den Grabstein. Auf dem Umschlag steht in Kinderschrift: 'Mom'. Forrest tritt wieder aus dem Steinkranz und bleibt stehen.,In addition to a bouquet he rejected the letter to the grave stone. On the cover is in child's handwriting: 'Mom'. Forrest exits the stone ring again and stops.
6919.6,6929.1,"Mit gesenktem Kopf entfernt sich Forrest von dem Grab unter der ausladenden Eiche, die auf einer Wiese steht. In der Nähe leuchtet die tiefstehende Sonne in warmem Orange durch eine Baumkrone.",Away with his head down is Forrest under the sprawling oak tree which stands by the grave in a meadow. Near the low sun in warm orange lights by a treetop.
6934.3,6936.4,Hinter Forrest fliegt ein Vogelschwarm vorbei.,Behind Forrest flies past a flock of birds.
6940.4,6941.6,Forrest sieht ihm nach.,Forrest looks after him.
6945.3,6947.8,An der Straße sitzen Vater und Sohn auf einem Baumstumpf.,On the road sitting Father and son on a tree stump.
6950,6952.4,s Er zieht das 'Curious George'-Buch aus der Schultasche.,s He pulls the 'Curious George'-book out of his satchel.
6963.7,6967,s Forrest blättert darin. Die grau-weiße Feder fällt unbemerkt raus.,s Forrest leafs through it. The gray-white feather falls out unnoticed.
6969.7,6971.3,s Er steckt das Buch zurück in die Tasche.,s He puts the book back into his pocket.
6972.9,6976.7,Mit der Tasche über der Schulter und einer Frühstückstüte geht Forrest Junior zur Bustür.,With the bag over her shoulder and a breakfast bag Forrest Junior goes to the bus door.
6992.3,6994.9,"Der Junge sieht zur Busfahrerin hoch, die Kaugummi kaut.","The boy looks up at the bus driver, chewing the gum."
7003.2,7006.1,Sie lacht ihn an. Der Kleine winkt seinem Vater und steigt ein.,She laughs at him. The little waving his father and joins.
7017.2,7018.6,Forrest sieht dem Bus nach.,Forrest looks after the bus.
7023.7,7027,Er setzt sich wieder auf den Baumstumpf und schaut melancholisch vor sich hin.,He sits back on the stump and looks melancholy to himself.
7030.2,7034.2,Forrests Hände ruhen auf seinen Knien.,Forrest's hands resting on his knees.
7034.1,7038,Zwischen seinen Füßen liegt die Feder im Gras. Ein Windstoß wirbelt sie hoch.,Between his feet the spring lies in the grass. A gust of wind swirls high.
7047,7053,Die Feder steigt höher in die Luft. Dabei dreht sie sich sanft. Unten sitzt Forrest immer noch auf dem Baumstumpf.,The spring rises higher into the air. She turns smoothly. Below sits Forrest still on the stump.
7056.8,7060.1,Die Feder fliegt über die Wipfel der mächtigen Bäume an der Zufahrt.,The spring flying over the tops of the mighty trees at the entrance.
7064.5,7067.6,Hoch über der Feder lugt zwischen Wolken der blaue Himmel hindurch.,High above the spring peeping between the clouds through the blue sky.
7071.2,7073.8,Die Feder sinkt etwas herab und wirbelt herum.,The spring descends slightly and whirls around.
7076.2,7077.3,Sie wird wieder angehoben...,They will be raised again ...
7080.3,7081.7,… und schwebt auf die Kamera zu.,... And floats towards the camera.
7083.2,7084.3,Das Bild wird schwarz.,The image is black.